カテゴリ,フラグ,フラグON時売上,フラグOFF時売上,売上差分,売上影響率(%),フラグON日数,フラグOFF日数,数量影響率(%),絶対影響額
100:米飯,祝日フラグ,1279.3245192307693,1666.2763187429855,-386.9517995122162,-23.22254689451069,423,8978,-22.9736772040106,386.9517995122162
100:米飯,土曜フラグ,1554.9992283950617,1664.1895392278955,-109.1903108328338,-6.5611703630520894,1309,8092,-5.259223838548656,109.1903108328338
100:米飯,日曜フラグ,1359.8162291169451,1694.067666377494,-334.251437260549,-19.730701665258437,1274,8127,-19.410613091382054,334.251437260549
100:米飯,週末フラグ,1458.8985507246377,1720.6781337664256,-261.7795830417879,-15.213744970930357,2583,6818,-14.29780478240541,261.7795830417879
100:米飯,平日フラグ,1749.5601698914581,1433.7376220949816,315.82254779647656,22.027918004620382,6395,3006,20.765936481882854,315.82254779647656
100:米飯,休日フラグ,1433.7376220949816,1749.5601698914581,-315.82254779647656,-18.05153965159541,3006,6395,-17.195193517998455,315.82254779647656
100:米飯,連休フラグ,1403.6059701492538,1678.656050955414,-275.05008080616017,-16.385136231428366,1023,8378,-16.416600246754523,275.05008080616017
100:米飯,降雨フラグ,1758.1168831168832,1572.3102629656685,185.8066201512147,11.81742716610836,3875,5526,10.377481620623778,185.8066201512147
185:洋風菓子・駄菓子,祝日フラグ,305.9465648854962,331.9580005153311,-26.01143562983492,-7.835761026833156,131,3936,-4.3719199922697864,26.01143562983492
185:洋風菓子・駄菓子,土曜フラグ,305.07078039927404,335.2539728402196,-30.18319244094556,-9.00308270331243,558,3509,-8.691679071759223,30.18319244094556
185:洋風菓子・駄菓子,日曜フラグ,292.81063829787234,336.19057029926597,-43.37993200139363,-12.903375595210246,487,3580,-14.950699154510827,43.37993200139363
185:洋風菓子・駄菓子,週末フラグ,299.42703232125365,341.92343697759947,-42.49640465634582,-12.428631693688168,1045,3022,-13.321254762337952,42.49640465634582
185:洋風菓子・駄菓子,平日フラグ,343.5713286713287,300.16840277777777,43.4029258935509,14.459525217143918,2891,1176,14.883774704275405,43.4029258935509
185:洋風菓子・駄菓子,休日フラグ,300.16840277777777,343.5713286713287,-43.4029258935509,-12.632871916699292,1176,2891,-12.955506330278599,43.4029258935509
185:洋風菓子・駄菓子,連休フラグ,301.1782729805014,334.05009581166166,-32.87182283116027,-9.840387188421431,373,3694,-8.916812268920383,32.87182283116027
185:洋風菓子・駄菓子,降雨フラグ,339.1461836998706,326.0697485806975,13.07643511917314,4.010318398468944,1553,2514,3.224589332509051,13.07643511917314
180:ガム・キャンディ,祝日フラグ,401.04407713498625,426.38910263075803,-25.34502549577178,-5.944107234307046,363,9680,-5.917463179214746,25.34502549577178
180:ガム・キャンディ,土曜フラグ,462.98901853122857,419.05291564003284,43.93610289119573,10.484619304960741,1463,8580,9.704401156540818,43.93610289119573
180:ガム・キャンディ,日曜フラグ,396.65631929046566,429.98574243653644,-33.32942314607078,-7.751285648963122,1357,8686,-8.312422350664324,33.32942314607078
180:ガム・キャンディ,週末フラグ,431.05017793594305,423.2792189679219,7.770958968021148,1.8358942796598923,2820,7223,1.030127077700213,7.770958968021148
180:ガム・キャンディ,平日フラグ,424.46496253856327,427.6173967853766,-3.152434246813357,-0.7372090729965273,6860,3183,0.00035110692310069696,3.152434246813357
180:ガム・キャンディ,休日フラグ,427.6173967853766,424.46496253856327,3.152434246813357,0.7426842083643013,3183,6860,-0.0003511056903443108,3.152434246813357
180:ガム・キャンディ,連休フラグ,434.50647948164146,424.5427435387674,9.963735942874052,2.346933517181694,933,9110,2.0646095404100215,9.963735942874052
180:ガム・キャンディ,降雨フラグ,433.2528567955264,420.00920402249875,13.243652773027634,3.153181560354141,4139,5904,3.6079096317482025,13.243652773027634
145:パン,祝日フラグ,542.3583138173302,822.1724060065485,-279.8140921892183,-34.03350564248803,430,8907,-33.7027711595959,279.8140921892183
145:パン,土曜フラグ,650.660406885759,834.6270297277042,-183.9666228419452,-22.04177630120175,1288,8049,-21.84210530790719,183.9666228419452
145:パン,日曜フラグ,540.0166112956811,849.4292079207921,-309.41259662511106,-36.4259427083373,1217,8120,-36.576023682908364,309.41259662511106
145:パン,週末フラグ,596.9879129734086,886.7750661570126,-289.787153183604,-32.678766492549784,2505,6832,-32.650965253391554,289.787153183604
145:パン,平日フラグ,909.8442352941177,588.9690615331729,320.8751737609448,54.48081991364022,6402,2935,54.29221313176077,320.8751737609448
145:パン,休日フラグ,588.9690615331729,909.8442352941177,-320.8751737609448,-35.26704476587887,2935,6402,-35.18791520956207,320.8751737609448
145:パン,連休フラグ,586.5055055055055,836.1676523838262,-249.66214687832064,-29.857905429199523,1014,8323,-29.329984181950973,249.66214687832064
145:パン,降雨フラグ,879.2526671870934,759.8970777430619,119.35558944403147,15.706809900957172,3860,5477,15.440807937429776,119.35558944403147
205:健康サポート飲料,祝日フラグ,718.8533333333334,964.6852286049239,-245.8318952715905,-25.48312008748174,75,1711,-24.09436499205475,245.8318952715905
205:健康サポート飲料,土曜フラグ,1032.5450980392156,941.2634338138926,91.28166422532308,9.697780764250039,256,1530,8.843732096501384,91.28166422532308
205:健康サポート飲料,日曜フラグ,917.2955465587045,960.2966101694915,-43.001063610787014,-4.477893929376401,248,1538,-4.081588650035583,43.001063610787014
205:健康サポート飲料,週末フラグ,975.8386454183267,945.8921032056294,29.946542212697295,3.16595752424705,504,1282,2.893904289848254,29.946542212697295
205:健康サポート飲料,平日フラグ,960.0348837209302,942.4350086655113,17.59987505541892,1.867489523796485,1207,579,1.8531266695733812,17.59987505541892
205:健康サポート飲料,休日フラグ,942.4350086655113,960.0348837209302,-17.59987505541892,-1.833253702949296,579,1207,-1.8194106849416594,17.59987505541892
205:健康サポート飲料,連休フラグ,908.8378378378378,959.6065162907269,-50.76867845288905,-5.290572499354301,185,1601,-5.578208129389223,50.76867845288905
205:健康サポート飲料,降雨フラグ,980.3454545454546,936.8855534709194,43.459901074535196,4.638763071276686,716,1070,4.769019500137324,43.459901074535196
215:ドライ飲料,祝日フラグ,1686.7241379310344,2143.0723053892216,-456.34816745818716,-21.294109690587685,290,6683,-21.353758365742788,456.34816745818716
215:ドライ飲料,土曜フラグ,2567.78936605317,2051.6647196261683,516.1246464270016,25.15638356938965,978,5995,25.699191715949134,516.1246464270016
215:ドライ飲料,日曜フラグ,2294.544117647059,2097.119807244932,197.42431040212705,9.41406922580599,955,6018,9.26808258634148,197.42431040212705
215:ドライ飲料,週末フラグ,2433.0072538860104,2005.7875,427.2197538860105,21.299352692446757,1933,5040,21.547397910287806,427.2197538860105
215:ドライ飲料,平日フラグ,2025.2671578947368,2335.51981981982,-310.2526619250832,-13.28409458537665,4750,2223,-13.443330350109056,310.2526619250832
215:ドライ飲料,休日フラグ,2335.51981981982,2025.2671578947368,310.2526619250832,15.319098061491825,2223,4750,15.531247221601015,310.2526619250832
215:ドライ飲料,連休フラグ,2257.931721194879,2109.0708472953565,148.86087389952263,7.058125813574247,704,6269,7.3345506739437845,148.86087389952263
215:ドライ飲料,降雨フラグ,2147.7813063875856,2108.4474874970233,39.33381889056227,1.8655346705957647,2772,4201,1.3038317336560041,39.33381889056227
135:牛乳・チルド飲料,祝日フラグ,573.8225806451613,708.8084663428175,-134.98588569765616,-19.04405662563994,124,2891,-21.49257758383621,134.98588569765616
135:牛乳・チルド飲料,土曜フラグ,652.2174940898345,711.595818815331,-59.37832472549644,-8.344389210205005,425,2590,-10.07201075603698,59.37832472549644
135:牛乳・チルド飲料,日曜フラグ,601.371921182266,719.1473076923077,-117.7753865100417,-16.377087872020894,406,2609,-16.92549878037904,117.7753865100417
135:牛乳・チルド飲料,週末フラグ,627.3160434258142,732.1520440973817,-104.83600067156749,-14.31888383249853,831,2184,-15.61421199447654,104.83600067156749
135:牛乳・チルド飲料,平日フラグ,741.7150511446663,620.3557187827912,121.35933236187509,19.562861868992837,2060,955,21.84889486696177,121.35933236187509
135:牛乳・チルド飲料,休日フラグ,620.3557187827912,741.7150511446663,-121.35933236187509,-16.36198863358441,955,2060,-17.93113912999953,121.35933236187509
135:牛乳・チルド飲料,連休フラグ,640.7263843648209,710.3508706928492,-69.6244863280283,-9.80142197335793,308,2707,-11.135801656176286,69.6244863280283
135:牛乳・チルド飲料,降雨フラグ,731.0836206896552,685.7437703141928,45.33985037546233,6.611777217412943,1164,1851,8.850928590466978,45.33985037546233
220:化粧品,祝日フラグ,542.6666666666666,520.8577277379734,21.808938928693237,4.187120161086408,27,1000,6.161279881629435,21.808938928693237
220:化粧品,土曜フラグ,592.9248554913295,506.56317689530687,86.36167859602261,17.04855041484219,179,848,9.885599097197696,86.36167859602261
220:化粧品,日曜フラグ,585.0512820512821,509.7429245283019,75.3083575229802,14.77379163088294,160,867,11.17978685546254,75.3083575229802
220:化粧品,週末フラグ,589.1914893617021,488.4237037037037,100.76778565799839,20.631223442654196,339,688,13.402194631909751,100.76778565799839
220:化粧品,平日フラグ,486.16358024691357,585.6629213483146,-99.49934110140106,-16.989182253903564,661,366,-12.04677337695214,99.49934110140106
220:化粧品,休日フラグ,585.6629213483146,486.16358024691357,99.49934110140106,20.466226830662052,366,661,13.69679526208004,99.49934110140106
220:化粧品,連休フラグ,561.2421052631579,517.2849284928493,43.95717677030859,8.497672046696067,99,928,5.671451355661891,43.95717677030859
220:化粧品,降雨フラグ,524.273417721519,519.6091954022988,4.66422231922013,0.8976404498786694,398,629,1.5956498484578325,4.66422231922013
225:バス・洗面用品,祝日フラグ,391.1818181818182,324.1749271137026,67.00689106811558,20.669979527631163,11,355,5.191675794085433,67.00689106811558
225:バス・洗面用品,土曜フラグ,404.96923076923076,308.5536332179931,96.41559755123768,31.24759755563146,69,297,26.462459695992628,96.41559755123768
225:バス・洗面用品,日曜フラグ,344.7291666666667,323.359477124183,21.369689542483684,6.60864797671505,49,317,-0.3369272237196754,21.369689542483684
225:バス・洗面用品,週末フラグ,379.3805309734513,301.34854771784234,78.03198325560896,25.89426225762721,118,248,18.228164678722603,78.03198325560896
225:バス・洗面用品,平日フラグ,297.0521739130435,380.4274193548387,-83.37524544179524,-21.91620298641725,237,129,-15.417859932309282,83.37524544179524
225:バス・洗面用品,休日フラグ,380.4274193548387,297.0521739130435,83.37524544179524,28.067542594790705,129,237,18.228268899285872,83.37524544179524
225:バス・洗面用品,連休フラグ,357.45714285714286,322.83385579937305,34.6232870577698,10.724800523798422,38,328,12.13911742707553,34.6232870577698
225:バス・洗面用品,降雨フラグ,329.2651515151515,324.4684684684685,4.796683046683029,1.4783202415088188,135,231,4.082332761578043,4.796683046683029
240:紙・衛生用品,祝日フラグ,500.71276595744683,606.6014862981885,-105.88872034074171,-17.456060153583227,94,2176,-9.959897279163762,105.88872034074171
240:紙・衛生用品,土曜フラグ,674.0621468926554,588.7279450607501,85.33420183190526,14.494674925461492,357,1913,18.461411469886038,85.33420183190526
240:紙・衛生用品,日曜フラグ,564.4518272425249,608.0061664953752,-43.55433925285024,-7.163469986481057,302,1968,-0.3841215140972591,43.55433925285024
240:紙・衛生用品,週末フラグ,623.6916030534351,593.3178391959799,30.373763857455174,5.1193073679725245,659,1611,11.698683997712886,30.373763857455174
240:紙・衛生用品,平日フラグ,599.1288384512684,608.2576769025367,-9.12883845126828,-1.5008176300799942,1517,753,-8.231884057971016,9.12883845126828
240:紙・衛生用品,休日フラグ,608.2576769025367,599.1288384512684,9.12883845126828,1.523685368720704,753,1517,8.970309538850287,9.12883845126828
240:紙・衛生用品,連休フラグ,601.0347826086957,602.3014377788795,-1.266655170183867,-0.21030253137946003,231,2039,5.226750032357311,1.266655170183867
240:紙・衛生用品,降雨フラグ,619.7081545064377,589.7429657794677,29.96518872697004,5.0810591165534,940,1330,4.402844130126414,29.96518872697004
130:デザート,祝日フラグ,419.2608695652174,528.9306872037914,-109.66981763857405,-20.734251252909328,77,1732,-23.60490755922429,109.66981763857405
130:デザート,土曜フラグ,497.12340425531914,528.8699080157687,-31.74650376044957,-6.002705633140886,244,1565,-5.1595214356929056,31.74650376044957
130:デザート,日曜フラグ,438.805,535.6473988439307,-96.84239884393065,-18.07950510969385,212,1597,-18.428372416995593,96.84239884393065
130:デザート,週末フラグ,470.3103448275862,542.4954614220877,-72.1851165945015,-13.306123595076121,456,1353,-12.981638968367609,72.1851165945015
130:デザート,平日フラグ,549.2817238627295,463.32142857142856,85.9602952913009,18.553058414834076,1276,533,18.836121110165475,85.9602952913009
130:デザート,休日フラグ,463.32142857142856,549.2817238627295,-85.9602952913009,-15.64958227388304,533,1276,-15.85050145881461,85.9602952913009
130:デザート,連休フラグ,488.1509433962264,528.2528160200251,-40.10187262379867,-7.591416724653765,174,1635,-8.829701834862396,40.10187262379867
130:デザート,降雨フラグ,548.3573446327683,508.6053384175405,39.75200621522782,7.815884579369739,729,1080,4.907652837896993,39.75200621522782
200:健康食品,祝日フラグ,296.9811320754717,336.5047679593134,-39.523635883841735,-11.745342012099071,53,1583,-9.590534326938329,39.523635883841735
200:健康食品,土曜フラグ,293.29716981132077,341.501414427157,-48.20424461583622,-14.115386519465877,214,1422,-12.30005875824248,48.20424461583622
200:健康食品,日曜フラグ,279.7389162561576,343.1307097680956,-63.391793511937976,-18.47453221391383,205,1431,-18.211741352675162,63.391793511937976
200:健康食品,週末フラグ,286.66506024096384,351.85466556564825,-65.18960532468441,-18.527423878232327,419,1217,-17.36263563081627,65.18960532468441
200:健康食品,平日フラグ,354.36614853195164,287.8333333333333,66.53281519861832,23.115048708263462,1164,472,21.078902103141516,66.53281519861832
200:健康食品,休日フラグ,287.8333333333333,354.36614853195164,-66.53281519861832,-18.77516107964792,472,1164,-17.409227980268085,66.53281519861832
200:健康食品,連休フラグ,288.9555555555556,339.40509725016767,-50.449541694612094,-14.86410843659985,135,1501,-13.829059829059837,50.449541694612094
200:健康食品,降雨フラグ,346.41606886657104,326.81377825618944,19.6022906103816,5.998000058313135,702,934,4.4473718533976925,19.6022906103816
110:調理パン,祝日フラグ,1368.7117117117118,1899.6856111862878,-530.973899474576,-27.950619636635622,113,2237,-28.180934689810428,530.973899474576
110:調理パン,土曜フラグ,1769.04375,1891.1533864541832,-122.10963645418315,-6.456886962676917,323,2027,-5.9489727180868925,122.10963645418315
110:調理パン,日曜フラグ,1525.1410256410256,1928.4156746031747,-403.27464896214906,-20.9122262525238,315,2035,-20.446392985253084,403.27464896214906
110:調理パン,週末フラグ,1648.636075949367,1958.4858490566037,-309.8497731072366,-15.820883937276864,638,1712,-15.271464654164143,309.8497731072366
110:調理パン,平日フラグ,1999.788643533123,1606.8169582772543,392.9716852558686,24.456530859444776,1599,751,23.784698423217527,392.9716852558686
110:調理パン,休日フラグ,1606.8169582772543,1999.788643533123,-392.9716852558686,-19.65066090992429,751,1599,-19.214570723352328,392.9716852558686
110:調理パン,連休フラグ,1552.547619047619,1913.4335260115606,-360.8859069639416,-18.860645120825648,258,2092,-19.036895762004335,360.8859069639416
110:調理パン,降雨フラグ,1944.290890269151,1824.7760646108663,119.51482565828474,6.5495612297923955,971,1379,5.380002622763209,119.51482565828474
290:たばこ,祝日フラグ,1065.68779342723,1292.7109800362975,-227.02318660906758,-17.561789921726596,454,13335,-18.42373833688771,227.02318660906758
290:たばこ,土曜フラグ,1075.229854689564,1311.873352010547,-236.643497320983,-18.03859320400926,1528,12261,-18.227995068723082,236.643497320983
290:たばこ,日曜フラグ,1031.0316742081448,1313.018906199286,-281.98723199114124,-21.476250696754406,1326,12463,-21.0530393017611,281.98723199114124
290:たばこ,週末フラグ,1054.593661971831,1346.3225716928769,-291.72890972104597,-21.66857451956879,2854,10935,-21.5620257850214,291.72890972104597
290:たばこ,平日フラグ,1357.8355161787365,1056.0407225964482,301.7947935822883,28.57795036921272,10481,3308,28.63584401920079,301.7947935822883
290:たばこ,休日フラグ,1056.0407225964482,1357.8355161787365,-301.7947935822883,-22.226167307186717,3308,10481,-22.261170078634127,301.7947935822883
290:たばこ,連休フラグ,1091.241769547325,1300.528947783562,-209.28717823623697,-16.092465961093485,1011,12778,-16.107807284368338,209.28717823623697
290:たばこ,降雨フラグ,1305.198418404026,1272.1579272817214,33.0404911223045,2.5972004272224005,5610,8179,2.0757549631570957,33.0404911223045
245:衣料品,祝日フラグ,717.0,767.7445008460237,-50.7445008460237,-6.609555755867387,20,631,-2.3761118170266773,50.7445008460237
245:衣料品,土曜フラグ,713.2627118644068,778.7261663286004,-65.46345446419355,-8.406479362678796,127,524,-7.016694278068049,65.46345446419355
245:衣料品,日曜フラグ,745.3493975903615,769.342803030303,-23.99340543994151,-3.1186884891150997,85,566,-3.587153145158537,23.99340543994151
245:衣料品,週末フラグ,726.5124378109452,785.4829268292683,-58.970489018323065,-7.507545613545949,212,439,-6.783287861766435,58.970489018323065
245:衣料品,平日フラグ,788.9948717948718,725.6515837104073,63.34328808446446,8.729160041321355,419,232,7.283511269276404,63.34328808446446
245:衣料品,休日フラグ,725.6515837104073,788.9948717948718,-63.34328808446446,-8.028352318737616,232,419,-6.789031402034507,63.34328808446446
245:衣料品,連休フラグ,696.7285714285714,775.0573012939002,-78.3287298653288,-10.106185663249006,72,579,-8.57535861662408,78.3287298653288
245:衣料品,降雨フラグ,824.9918367346938,726.6502732240438,98.34156351065008,13.533547998863686,260,391,11.799868334430544,98.34156351065008
210:医薬品・医薬部外品,祝日フラグ,528.4444444444445,759.2592592592592,-230.81481481481478,-30.399999999999995,9,216,-30.4,230.81481481481478
210:医薬品・医薬部外品,土曜フラグ,678.7777777777778,763.5978835978837,-84.82010582010582,-11.107954545454545,36,189,-11.107954545454533,84.82010582010582
210:医薬品・医薬部外品,日曜フラグ,650.5333333333333,765.3333333333334,-114.80000000000007,-15.000000000000007,30,195,-15.000000000000002,114.80000000000007
210:医薬品・医薬部外品,週末フラグ,665.939393939394,784.930817610063,-118.99142367066895,-15.159479154222911,66,159,-15.159479154222907,118.99142367066895
210:医薬品・医薬部外品,平日フラグ,800.32,649.44,150.88,23.23232323232323,150,75,23.232323232323232,150.88
210:医薬品・医薬部外品,休日フラグ,649.44,800.32,-150.88,-18.852459016393443,75,150,-18.852459016393443,150.88
210:医薬品・医薬部外品,連休フラグ,622.0689655172414,768.9591836734694,-146.890218156228,-19.10247270271284,29,196,-19.102472702712838,146.890218156228
210:医薬品・医薬部外品,降雨フラグ,814.4090909090909,708.6715328467153,105.73755806237557,14.920531326781324,88,137,14.920531326781322,105.73755806237557
195:スナック菓子,祝日フラグ,296.578125,321.7496679946879,-25.17154299468791,-7.823331458761131,64,1514,-9.376028637261355,25.17154299468791
195:スナック菓子,土曜フラグ,316.04545454545456,321.4859259259259,-5.440471380471365,-1.6922891304812244,221,1357,-3.1693077564637218,5.440471380471365
195:スナック菓子,日曜フラグ,308.3705583756345,322.49599417334304,-14.12543579770852,-4.380034497456745,200,1378,-7.122826594317047,14.12543579770852
195:スナック菓子,週末フラグ,312.4196642685851,323.7267996530789,-11.30713538449379,-3.4928017688405957,421,1157,-5.9152338282305355,11.30713538449379
195:スナック菓子,平日フラグ,325.3223140495868,310.3118503118503,15.010463737736472,4.837218985562939,1093,485,7.631774268732074,15.010463737736472
195:スナック菓子,休日フラグ,310.3118503118503,325.3223140495868,-15.010463737736472,-4.614028331130253,485,1093,-7.0906331523229085,15.010463737736472
195:スナック菓子,連休フラグ,324.359477124183,320.33098094565986,4.028496178523142,1.257604296228383,156,1422,-0.8863662424033929,4.028496178523142
195:スナック菓子,降雨フラグ,336.2547864506627,308.8877665544332,27.36701989622952,8.859858777025027,679,899,10.462743965190386,27.36701989622952
120:惣菜,祝日フラグ,407.56410256410254,439.7551652892562,-32.19106272515364,-7.3202239032211125,39,993,-6.681244783032955,32.19106272515364
120:惣菜,土曜フラグ,392.1136363636364,445.5074285714286,-53.39379220779222,-11.984938697656652,137,895,-11.328338495172154,53.39379220779222
120:惣菜,日曜フラグ,357.66386554621846,449.34234234234236,-91.6784767961239,-20.402812768149154,126,906,-19.238841471946273,91.6784767961239
120:惣菜,週末フラグ,375.7808764940239,459.3346560846561,-83.55377959063219,-18.19017539474163,263,769,-17.192525671960038,83.55377959063219
120:惣菜,平日フラグ,462.1506276150628,380.0551724137931,82.09545520126966,21.600930906917508,730,302,20.132618855367152,82.09545520126966
120:惣菜,休日フラグ,380.0551724137931,462.1506276150628,-82.09545520126966,-17.763787452788897,302,730,-16.75866142534167,82.09545520126966
120:惣菜,連休フラグ,412.8020833333333,441.21734357848516,-28.415260245151842,-6.440195667443713,99,933,-5.979844584749882,28.415260245151842
120:惣菜,降雨フラグ,440.7265625,437.14125200642053,3.5853104935794704,0.8201720787327597,393,639,-0.7380327041785489,3.5853104935794704
